service,method,path,effective_path,handler,source_file,line
competitor-intel,GET,/health/live,/health/live,live,server/competitor-intel/app/main.py,110
competitor-intel,GET,/health/ready,/health/ready,readiness,server/competitor-intel/app/main.py,115
competitor-intel,GET,/internal/v1/reports,/internal/v1/reports,reports,server/competitor-intel/app/main.py,160
competitor-intel,GET,/internal/v1/reports/{report_id},/internal/v1/reports/{report_id},report,server/competitor-intel/app/main.py,168
competitor-intel,POST,/internal/v1/run,/internal/v1/run,run,server/competitor-intel/app/main.py,182
competitor-intel,GET,/internal/v1/targets,/internal/v1/targets,targets,server/competitor-intel/app/main.py,129
competitor-intel,POST,/internal/v1/targets,/internal/v1/targets,add_target,server/competitor-intel/app/main.py,121
competitor-intel,DELETE,/internal/v1/targets/{target_id},/internal/v1/targets/{target_id},remove_target,server/competitor-intel/app/main.py,153
competitor-intel,GET,/internal/v1/targets/{target_id},/internal/v1/targets/{target_id},target,server/competitor-intel/app/main.py,134
competitor-intel,PUT,/internal/v1/targets/{target_id},/internal/v1/targets/{target_id},edit_target,server/competitor-intel/app/main.py,142
local-lab,GET,/,/,root,server/local-lab/app/main.py,1241
local-lab,GET,/api/mail,/api/mail,api_mail,server/local-lab/app/main.py,1236
local-lab,POST,/api/office/import/direct,/api/office/import/direct,office_direct_import,server/local-lab/app/main.py,1176
local-lab,POST,/api/office/state/restore,/api/office/state/restore,office_restore_state,server/local-lab/app/main.py,1183
local-lab,GET,/api/state,/api/state,api_state,server/local-lab/app/main.py,1205
local-lab,POST,/documenso/envelope/create,/documenso/envelope/create,documenso_create,server/local-lab/app/main.py,815
local-lab,GET,/documenso/envelope/item/{item_id}/download,/documenso/envelope/item/{item_id}/download,documenso_download,server/local-lab/app/main.py,853
local-lab,GET,/documenso/envelope/{envelope_id},/documenso/envelope/{envelope_id},documenso_get,server/local-lab/app/main.py,845
local-lab,POST,/documenso/envelope/{envelope_id}/distribute,/documenso/envelope/{envelope_id}/distribute,documenso_distribute,server/local-lab/app/main.py,836
local-lab,GET,/files/{name}.pdf,/files/{name}.pdf,pdf_source,server/local-lab/app/main.py,411
local-lab,POST,/gauzy/auth/login,/gauzy/auth/login,gauzy_login,server/local-lab/app/main.py,420
local-lab,POST,/gauzy/invoice-item/bulk/{invoice_id},/gauzy/invoice-item/bulk/{invoice_id},gauzy_items,server/local-lab/app/main.py,486
local-lab,GET,/gauzy/invoices,/gauzy/invoices,gauzy_invoice_list,server/local-lab/app/main.py,438
local-lab,POST,/gauzy/invoices,/gauzy/invoices,gauzy_invoice_create,server/local-lab/app/main.py,443
local-lab,PUT,/gauzy/invoices/generate/{invoice_id},/gauzy/invoices/generate/{invoice_id},gauzy_invoice_link,server/local-lab/app/main.py,451
local-lab,GET,/gauzy/invoices/{invoice_id},/gauzy/invoices/{invoice_id},gauzy_invoice_get,server/local-lab/app/main.py,460
local-lab,PUT,/gauzy/invoices/{invoice_id},/gauzy/invoices/{invoice_id},gauzy_invoice_update,server/local-lab/app/main.py,468
local-lab,PUT,/gauzy/invoices/{invoice_id}/action,/gauzy/invoices/{invoice_id}/action,gauzy_invoice_action,server/local-lab/app/main.py,477
local-lab,GET,/gauzy/organization-contact/,/gauzy/organization-contact/,gauzy_contacts,server/local-lab/app/main.py,425
local-lab,POST,/gauzy/organization-contact/,/gauzy/organization-contact/,gauzy_contact_create,server/local-lab/app/main.py,430
local-lab,GET,/gauzy/payments/,/gauzy/payments/,gauzy_payment_list,server/local-lab/app/main.py,498
local-lab,POST,/gauzy/payments/,/gauzy/payments/,gauzy_payment_create,server/local-lab/app/main.py,503
local-lab,GET,/health/live,/health/live,health,server/local-lab/app/main.py,403
local-lab,GET,/lab,/lab,dashboard,server/local-lab/app/main.py,1246
local-lab,POST,/lab/demo/completion,/lab/demo/completion,complete_demo_job,server/local-lab/app/main.py,1094
local-lab,POST,/lab/demo/create,/lab/demo/create,create_demo_job,server/local-lab/app/main.py,1034
local-lab,POST,/lab/demo/start,/lab/demo/start,start_demo_job,server/local-lab/app/main.py,1046
local-lab,POST,/lab/envelopes/{envelope_id}/complete,/lab/envelopes/{envelope_id}/complete,lab_complete_envelope,server/local-lab/app/main.py,877
local-lab,POST,/lab/invoices/{invoice_id}/pay,/lab/invoices/{invoice_id}/pay,lab_pay_invoice,server/local-lab/app/main.py,767
local-lab,POST,/lab/reminders/force,/lab/reminders/force,force_past_due_reminder,server/local-lab/app/main.py,1124
local-lab,POST,/lab/reset-mocks,/lab/reset-mocks,reset_mocks,server/local-lab/app/main.py,1143
local-lab,POST,/lab/sms/inbound,/lab/sms/inbound,lab_inbound_sms,server/local-lab/app/main.py,947
local-lab,GET,/pay/{invoice_id},/pay/{invoice_id},square_payment_page,server/local-lab/app/main.py,745
local-lab,GET,/sign/{envelope_id},/sign/{envelope_id},documenso_sign_page,server/local-lab/app/main.py,864
local-lab,GET,/square/v2/cards,/square/v2/cards,square_cards_list,server/local-lab/app/main.py,544
local-lab,GET,/square/v2/cards/{card_id},/square/v2/cards/{card_id},square_card_get,server/local-lab/app/main.py,553
local-lab,POST,/square/v2/cards/{card_id}/disable,/square/v2/cards/{card_id}/disable,square_card_disable,server/local-lab/app/main.py,561
local-lab,POST,/square/v2/customers,/square/v2/customers,square_customer_create,server/local-lab/app/main.py,536
local-lab,POST,/square/v2/customers/search,/square/v2/customers/search,square_customer_search,server/local-lab/app/main.py,522
local-lab,POST,/square/v2/invoices,/square/v2/invoices,square_invoice_create,server/local-lab/app/main.py,652
local-lab,GET,/square/v2/invoices/{invoice_id},/square/v2/invoices/{invoice_id},square_invoice_get,server/local-lab/app/main.py,714
local-lab,POST,/square/v2/invoices/{invoice_id}/publish,/square/v2/invoices/{invoice_id}/publish,square_invoice_publish,server/local-lab/app/main.py,666
local-lab,GET,/square/v2/locations/{location_id},/square/v2/locations/{location_id},square_location,server/local-lab/app/main.py,517
local-lab,POST,/square/v2/orders,/square/v2/orders,square_order_create,server/local-lab/app/main.py,606
